Apollo
Space Shuttle-82, 1997-02-11, 1997-02-21
Space Shuttle-83, 1997-04-04, 1997-04-08
Space Shuttle-84, 1997-05-15, 1997-05-24
Space Shuttle-94, 1997-07-01, 1997-07-17
Space Shuttle-85, 1997-08-07, 1997-08-19
Space Shuttle-86, 1997-09-26, 1997-10-06
Space Shuttle-87, 1997-11-19, 1997-12-05
Space Shuttle-89, 1998-01-23, 1998-01-31
Space Shuttle-90, 1998-04-17, 1998-05-03
Space Shuttle-91, 1998-06-02, 1998-06-12
Space Shuttle-95, 1998-10-29, 1998-11-07
Space Shuttle-88, 1998-12-04, 1998-12-16
Space Shuttle-96, 1999-05-27, 1999-06-06
Space Shuttle-93, 1999-07-23, 1999-07-28
Space Shuttle-103, 1999-12-20, 1999-12-28
Space Shuttle-99, 2000-02-11, 2000-02-22
Space Shuttle-101, 2000-05-19, 2000-05-29
Space Shuttle-106, 2000-09-08, 2000-09-20
Space Shuttle-92, 2000-10-11, 2000-10-24
Space Shuttle-97, 2000-12-01, 2000-12-11
Space Shuttle-98, 2001-02-07, 2001-02-20
Space Shuttle-102, 2001-03-08, 2001-03-21
Space Shuttle-100, 2001-04-19, 2001-05-01
Space Shuttle-104, 2001-07-12, 2001-07-25
Space Shuttle-105, 2001-08-10, 2001-08-22
Space Shuttle-108, 2001-12-05, 2001-12-17
Space Shuttle-109, 2002-03-01, 2002-03-12
Space Shuttle-110, 2002-04-08, 2002-04-19
Space Shuttle-111, 2002-06-05, 2002-06-19
Space Shuttle-112, 2002-10-07, 2002-10-18
Space Shuttle-113, 2002-11-24, 2002-12-07
Space Shuttle-107, 2003-01-16, 2003-02-01
Space Shuttle-114, 2005-07-26, 2005-08-09
Space Shuttle-121, 2006-07-04, 2006-07-17
Space Shuttle-115, 2006-09-09, 2006-09-21
Space Shuttle-116, 2006-12-10, 2006-12-22
Space Shuttle-117, 2007-06-08, 2007-06-22
Space Shuttle-118, 2007-08-08, 2007-08-21
Space Shuttle-120, 2007-10-23, 2007-11-07
Space Shuttle-122, 2008-02-07, 2008-02-20
Space Shuttle-123, 2008-03-11, 2008-03-27
Space Shuttle-124, 2008-05-31, 2008-06-14
Space Shuttle-126, 2008-11-15, 2008-11-30
Space Shuttle-119, 2009-03-15, 2009-03-28
Space Shuttle-125, 2009-05-11, 2009-05-24
Space Shuttle-127, 2009-07-15, 2009-07-31
Space Shuttle-128, 2009-08-29, 2009-09-12
Space Shuttle-129, 2009-11-16, 2009-11-27
Space Shuttle-130, 2010-02-08, 2010-02-22
Space Shuttle-131, 2010-04-05, 2010-04-20
Space Shuttle-132, 2010-05-14, 2010-05-26
Space Shuttle-133, 2011-02-24, 2011-03-09
Space Shuttle-134, 2011-05-16, 2011-06-01
Space Shuttle-135, 2011-07-08, 2011-07-21

Starliner
Starliner CFT, 2024-06-05, 2024-09-07

Vostok
Vostok-2, 1961-08-06, 1961-08-07
Vostok-3, 1962-08-11, 1962-08-15
Vostok-4, 1962-08-12, 1962-08-15
Vostok-5, 1963-06-14, 1963-06-19
Vostok-6, 1963-06-16, 1963-06-19
Voskhod, 1964-10-12, 1964-10-13
Voskhod-2, 1965-03-18, 1965-03-19

