KSP Date,IRL Date,Launch Vehicle,Mission / Payload,Contract / Mission,Crew,Result,Notes
1957 Apr 18,2024 Feb 12,ATP-300,,Science Flight Mach 1 Science,Daniel Bauer,Failure,"Flyby of Humboldt-2C on the pad!, tried landing at 110m/s, ejected at touchdown right before the runway, plane ended up only losing a wing and engine"
1957 Apr 18,2024 Feb 12,Humboldt-2C,,Science Flight w/ Biological,,Success,Forgot to limit AP to 140km until late into flight
1957 Aug 1,2024 Feb 12,ATP-300,,X-Planes (High Supersonic) Optional,Daniel Bauer,Success,"Ran dangerously low on fuel, somehow the engines didn't melt at 740m/s @ 14km"
1957 Aug 7,2024 Feb 12,Humboldt-2C,,Science Flight w/ Biological,,Partial Failure,"A4 loss of thrust during booster burn, 60km ap"
1957 Oct 17,2024 Feb 14,Humboldt-4D,,First Solar-Powered Satellite,,Success,"Engine out 90 seconds in, no avionics first ~10 seconds, tough upper burn"
1957 Nov 3,2024 Feb 14,Humboldt-2C,,Science Flight w/ Biological,,Success,"Reentry at 2900m/s but no explosions, 1:20 left on bio science, force on launch sent pitch north, ended up going over Texas and landing north of Dallas"
1958 Feb 2,2024 Feb 14,Humboldt-4C,,Atmosphere Analysis Satellite,,Success,You can see so much from above the gulf
1958 Jun 3,2024 Feb 14,Humboldt-4E,,First Scientific Satellite,,Success,"Ran out of money getting it to the pad, first night launch to expedite things, got to 40 degree without avionics on startup, Success! ~6000km ap. Program completed with 6 days to spare"
1958 Aug 21,2024 Feb 15,ATP-220,,X-Planes (High Altitude) - Optional - 55km,Daniel Bauer,Partial Failure,"2 Engines out, drop 250km away, 30km ap, made it back with a successful landing"
1958 Sep 21,2024 Feb 16,ATP-220,,X-Planes (High Altitude) - Optional - 55km,Daniel Bauer,Success,"280km downrange, 75km ap, 1000m/s left over, 3 perfect ignitions, somehow made it back after being way off course from burning 700m/s remaining"
1958 Oct 10,2024 Feb 16,Goliath 1A,,First Navigational Satellite,,Success,"Perfect First Stage Burn, 2 AJ10 out on startup, Explosion at 70s, Slowly degrade, Good third stage ignition, Just barely made it to the target orbit with RCS!"
1958 Oct 26,2024 Feb 18,ATP-220,,X-Planes (High Altitude) - Optional - 70km,Daniel Bauer,Success,"320km downrange, 70.5km ap, high alt sci >40 km, hard landing but fine"
1958 Dec 4,2024 Feb 18,ATP-220,,Science Flight,Daniel Bauer,Success,"Couldn't do 85km on this cockpit, areodynamic instability at 40km, relit to get closer, made it! used a third of the runway"
1959 Mar 13,2024 Feb 19,Goliath 1B,Heinlein 1,Lunar Flyby (Uncrewed),,Failure,210t vehicle vs. 140t avionics
1959 Jun 19,2024 Feb 19,ATP-230,,Test Flight,Achim Hahn,Partial Failure,"Accidentally didn't get the Karman Line contract, Horrible yaw control >30km, no RCS, Engines destroyed on splashdown"
1959 Jul 19,2024 Feb 19,Goliath 1B,Heinlein 2,Lunar Flyby (Uncrewed),,Failure,"2 Engines out on second stage, 4t for 4.5t payload on third, TLI stage failed"
1959 Oct 10,2024 Feb 20,ATP-230,,X-Planes (Karman Line),Achim Hahn,Partial Failure,"Hard to control pitch and roll >50km, even with RCS, 350km downrange overshot, "
1959 Nov 30,2024 Feb 20,Goliath 1B,Heinlein 3,Lunar Flyby (Uncrewed),,Partial Failure,"7 degrees off moon plane, got to Moon at day 7, no electricity at day 4, good practice, 38 science!"
1960 Jan 2,2024 Feb 20,ATP-400,,X-Planes (Karman Line),Daniel Bauer,Success,"120km ap, overshot, success"
1960 Feb 6,2024 Feb 21,ATP-400,,X-Planes (Suborbital) (110km),Achim Hahn,Success,"450km downrange, 110km ap, offset torque from engine >60km, overshot but made it back with a 300m/s burn"
1960 Mar 3,2024 Feb 21,ATP-410,,X-Planes (Suborbital) (120km),Daniel Bauer,Success,"475km downrage north, 147km ap, almost overheated"
1960 Apr 7,2024 Feb 21,ATP-420,,X-Planes (Hypersonic) Test,Achim Hahn,Partial Failure,"200km downrange north, flew over KSC at 2100m/s 35km up, 30 seconds from success, American flag exploded, hard splashdown"
1960 Apr 20,2024 Feb 24,Goliath 1B,Heinlein 4,Lunar Flyby (Uncrewed) + Lunar Impactor,,Great Success,"Great success and over-performance! Lunar impact! Proven TLI method at 3800m/s - Launch at 8 degrees relative inclincation (lowest) at the time that would you approach the moon at the eN or aN nodes, so inclination differences are possible"
1960 May 19,2024 Feb 25,ATP-420,,X-Planes (Hypersonic),Daniel Bauer,Success,"500km north, very hot, cockpit was full thermal indicator the whole time, success"
1960 May 29,2024 Feb 25,Goliath 2H,Cassiope,First Communications Satellite,,Failure,Third stage didn't ignite
1960 Jul 6,2024 Feb 26,ATP-310,,X-Planes (High Supersonic) Optional 800m/s +,Daniel Bauer,Partial Failure,"Wrong engine, exploded"
1960 Jul 17,2024 Feb 26,ATP-310,,X-Planes (High Supersonic) Optional 800m/s +,Daniel Bauer,Partial Failure,"Upgraded Engine with max 825m/s, very rough takeoff almost died, engine still exploded? too low"
1960 Jul 23,2024 Feb 26,ATP-310 Peregrine,,X-Planes (High Supersonic) Optional 800m/s +,Daniel Bauer,Success,"Low fuel, hard landing, tough"
1960 Aug 27,2024 Feb 26,ATP-320 Sandpiper,,X-Planes (Stratospheric Research),Daniel Bauer,Success,"Complete success! Turned around half way back to KSC, great trajectory"
1960 Sep 25,2024 Feb 26,Goliath 2H,Cassiope,First Communications Satellite,,Success,Principia gave wrong periapsis stats for a maneuver
1960 Oct 29,2024 Feb 28,Goliath 3B,Heinlein 5,First Lunar Orbiter (Uncrewed),,Success,"Took a couple attempts for TLI, better comms required"
1961 Jan 19,2024 Feb 28,Goliath 2H,Ricochet 1,Reach Orbital Speed & Return Safely to Earth,,Partial Failure,"Successful Reentry, forgot parachute"
1961 Mar 1,2024 Feb 29,Goliath 3B,Heinlein 6,Lunar Orbiter (Uncrewed), ,Success,"427km ap 142km pe parking orbit, down to 130km with Principia, had to start tli at maneuver not before strange, 2.5 days to Moon, needed extra delta-v to get to <500km pe, crashed into Moon Oct 23 1961"
1961 Apr 30,2024 Feb 29,Goliath 2H,Ricochet 2,Reach Orbital Speed & Return Safely to Earth,,Success,"Parachute was off center of mass, bad"
1961 Jun 22,2024 Feb 29,Goliath 3AH,Cassiope 2,Commercial Communications Satellites (Early) / Science Sat,,Success,"20,000km+ is space high"
1961 Sep 17,2024 Mar 1,Goliath 3AH,Cassiope 3,Early Communications Network (4 Satellites),,Success,"Forgot comsat payload, resolved regardless I'm fine with it"
1961 Oct 16,2024 Mar 1,Goliath 2H,Ricochet 3,Reach Orbit & Return Safely to Earth,,Partial Success,"Used quarter the ablator, Avionics undersized, reentered wrong way at first, made it through without a parachute, reentry achieved"
1961 Nov 26,2024 Mar 1,Goliath 3AH,Selenium 1,Early Navigation Network (3 Satellites),,Failure,LR-91 second stage engine failure
1962 Jan 17,2024 Mar 2,Goliath 3AH,Selenium 2,Early Navigation Network (3 Satellites),,Success,2000 extra m/s
1962 Apr 1,2024 Mar 2,Goliath 3H,Cassiope 4,Commercial Communications Satellites (Early),,Success,1250km initial ap
1962 Jul 23,2024 Mar 2,Goliath 3A,CRS-1 Belgica,Orbital Test Flight (Uncrewed),,Success,One day that'll be me
1962 Aug 13,2024 Mar 2,Goliath 3AH,Cassiope 5,First Molniya Orbit Satellite,,Success,"Slightly off inclincation, fine by me"
1962 Sep 3,2024 Mar 2,Goliath 3AH,Cassiope 6,Commercial Communications Satellites (Early),,Success,"Initial LR-91 failure, gonna bite me in the Ass on a Colussus flight, did this to get extra contract points which werent needed"
1962 Nov 22,2024 Mar 2,Colussus 1,Heinlein 7,First Lunar Landing (Uncrewed),,Great Success,"200 extra m/s in LEO at 200x400km, Look at the red on the map patches conics for if you start the burn at the burn or half before, Luckily the force of decoupling post TLI only made it better to land almost in the sun, 100 days of charge in warp, PERFECT LANDING! At first I decoupled the landing stage and blew up (that's worth an f9!), then started the burn late (5s @ 330m/s) and got to 0 velocity at 5m! Midlands"
1962 Dec 10,2024 Mar 2,Goliath 3A,Belgica 1,First Orbital Flight (Crewed),Daniel Bauer,Failure,"Hot staged the LR-91 and it collided into the fairing. Whoops, 3:08 total flight time, cool screenshots at least! The abort system was useful (not really, but sitll cool!)"
1963 Mar 13,2024 Mar 4,Goliath 3A,Belgica 2,First Orbital Flight (Crewed),Daniel Bauer,Success,"Added flight control experiments science, 3rd stage shroud half stayed attached, 500km ap, 2 orbits For Science!, Landed in Nicaragua"
1963 May 16,2024 Mar 4,Colussus 1,Heinlein 8,Lunar Landing (Uncrewed),,Success,"LR-79 loss of thrust, 1170km initial ap, took separation force into account post TLI, 0.1x timewarp for optimal insertion, 4.5 day transfer, Impact at 55m/s on top of final landing stage, bounces but all good, 13 hours electricity while doing experiments, Oceanus Procellarum"
1963 May 24,2024 Mar 4,Goliath 3B,Perplex Alpha 1,Cosmic Ray Satellite Beyond LEO,,Success,"1200km initial ap on second stage, had to burn satellite engine to get >35000km, kill rot doesn't work due to principia, have to leave the craft for it to stay put"
1963 Jun 20,2024 Mar 4,Goliath 3A,Belgica 3,Collect Basic Crew Science,Achim Hahn,Partial Failure,"Didn't have 24hrs of electricity, aimed to land in Australia"
1963 Sep 28,2024 Mar 5,Goliath 3A,Belgica 4,Collect Basic Crew Science,Daniel Bauer,Success,Landed in the Mexican Mountains
1963 Nov 10,2024 Mar 5,Goliath 3C,Heinlein 9 - Perplex Alpha,First Lunar Orbiter & Mapper (Uncrewed),,Partial Failure,"Transfered to the Moon too late, too much delta v required to reach LLO, shame, planned on Launching Heinlein 10 at the same window, didn't get to LLO but we have another relay, crashed into the Moon in unstable orbit after using almost all fuel after about a month"
1963 Nov 22,2024 Mar 5,Colussus 1,Heinlein 10,Lunar Landing (Uncrewed) + Communications Orbiter,,Success,"1270km initial ap, dumped fuel to compensate for Avionics NEW RULE, spaced out orbiter and lander, KSP crashed when lander landed because 0.1x warp, forgot about ullage on final burn so impacted at 75m/s, going horizontal during areobee burn, very cool, just barely enough fuel left (would impact at 30m/s if final engine fired), The orbiter started doing the precession spinning thing! insufficient avionics on orbiter but left as the solar panels were in sun, the antennas can't point"
1964 Jan 21,2024 Mar 9,Goliath 3A,Belgica 5,Orbital Flight (One Crew),Achim Hahn,Success,"2.215t on 2t avionics from extra batteries, could only do retrograde burn at certain times, pulsed side engines for single axis control, ran out of lithium hydroxide, returned home, steep reentry from 500km ap to -140km, 10g's passed out, splashdown north of peurto rico, contract complete but not 2 days in space"
1964 Feb 14,2024 Mar 9,Goliath 3C,Heinlein 11 - Perplex Alpha,First Lunar Orbiter & Mapper (Uncrewed) + Com Orbiter,,Partial Failure,"Couldn't find the Moon flying to it, shrouded in darkness, appears at the last minute, wrong imaging on orbiter, contract failure, Comm orbiter was doing the ISS flipping thing and perfect burn"
1964 Apr 18,2024 Mar 10,Goliath 3H,Ricochet 4A,Dedicated Earth Imaging Satellite,,Success,"Rentry north of the Soviet Union, deorbit burn south of Mexico, tough deorbit, otherwise good, 3 days"
1964 Jun 24,2024 Mar 10,Goliath 3C,Belgica 6,Orbital Flight (One Crew),Daniel Bauer,Success,"CRS-2 Belgica Spacecraft, 7 day planned mission, landed july 1st after 7 days, complete success"
1964 Jun 27,2024 Mar 10,Colussus 1B,Heinlein 12,Lunar Landing (Uncrewed),,Success,"Next gen lander, but communications took too long to set up and get working, couldn't go for far side landing, Booster engine failure on ascent (crossfeed made it fine), I forgot the Science!, 2m/s left over! [Major Craters]"
1964 Nov 14,2024 Mar 11,Goliath 3H,Perplex Alpha 2,Infrared Radiometry Satellite,,Success,"The first design was scrapped and broke the game several times (don't use remove symmetry), otherwise perfectly successful, mech jeb maneuver got it in a perfect orbit (10km ap to pe)"
1964 Nov 20,2024 Mar 11,Goliath 3C,Amundsen 1,Mars Flyby,,Failure,"Figured out MLI easily, only 900m/s left for a 2000m/s insertion burn, tracking station not yet upgraded enough at liftoff, didn't have comms at the time of flyby, waiting for tracking station. Closest approach on April 17 1967, still no comms."
1964 Dec 12,2024 Mar 12,Goliath 3C,Heinlein 13 - Perplex Alpha,First Lunar Orbiter & Mapper (Uncrewed) + Com Orbiter,,Failure,"Booster Engine out on liftoff, the thrust offset saved it, No flourine? added it back, TLI engine failure, put the Perplex Orbiter in a 4000x600km orbit around Earth to provide coms"
1965 Jan 24,2024 Mar 14,Goliath 3H,Ricochet 4B,Improved Earth Imaging Satellite,,Success,PLASMA!
1965 Mar 1,2024 Mar 14,Goliath 3C,Heinlein 14 - Perplex Alpha,First Lunar Orbiter & Mapper (Uncrewed) + Com Orbiter,,Success,"Flourine boils off so quickly, good orbit insertion for both orbiters, comm orbiter still doesn't work, but the low orbiter successfully completed the contract"
1965 Mar 15,2024 Mar 14,Colussus 1B,Heinlein 15,First Far Side Lunar Landing (Uncrewed),,Failure,"Start doing 3400m/s for TLI again, still no comms but that's bullshit, too little delta v for TLI, then landing in darkness failed, low power too"
1965 Apr 8,2024 Mar 14,Goliath 3H,Perplex Alpha 3,Cherenkov Detection Beyond LEO / Com sat,,Failure,"Didn't see the ecentricity requirement, the main engine failed late into the burn, the LR-91 failed due to ulluge before firing, mission failure burned up at 55km @ 4.94km/s, explosions started at 80km, STARSHIP JINXED IT!"
1965 Jul 22,2024 Mar 22,Goliath 3H,Ricochet 4C,Improved Earth Imaging Satellite,,Success,"Almost burned up on reentry, tanks and engines lost"
1965 Aug 12,2024 Mar 22,Goliath 3C,Heinlein 16,Perplex Alpha Communication Satellites,,Success,"Dual Perplex Alpha Spacecraft on top, absolutely perfect mission, relay still doesn't work wtf, figured it out, it was tech level, switching to the HG-61 dish for relay with the RA-2 for Earth Comms"
1965 Aug 26,2024 Mar 22,Colussus 1B,Heinlein 17,First Far Side Lunar Landing (Uncrewed),,Partial Failure,"346x190 perfect parking orbit, Dumped some fuel in the TLI stage to get Avionics, Comms still doesn't work with this antenna?! or is it tech level 3? Either way, I'll complete the contract at this point, and the Lunar Orbiter contract completed while in flight as well! It wasn't S-band or tier 4, No science transmitted - NVM, i quicksaved wrong and over burned the TLI playing Polytopia w/ Cassandra, now we're in Major Craters, lost an engine on descent but we're good, ran the AJ-10 stage to ~3km"
1965 Sep 9,2024 Mar 23,Goliath 3C,Perplex Alpha 4,Magnetometry Satellite,,Success,"A booster engine failed, still enough Delta-v hopefully, there was enough shhhhh"
1965 Nov 6,2024 Mar 23,Colussus 2,Amundsen 2,Venus Flyby & Orbiter,,Success,"Used less delta-v than transfer planner expected, ~3550m/s for escape, 1000m/s in course correction purple, ~2500m/s left for circularization, the course correction is worrying, engine loss of thrust during course correction, Fly-by on March 23 1966, orbital insertion into a highly elliptical orbit with ~1400m/s, dropped RCS down to < ~10% to get into the atmosphere (planning ahead I could've burned the engine longer, realized just after shutdown"
1965 Dec 14,2024 Mar 27,Goliath 3H,Ricochet 4D,Improved Earth Imaging Satellite,,Success,"Did this to have enough confidence to accept inner planet exploration, went south to 70 degrees this time, made it to orbit on rcs, less comms going south)"
1965 Dec 28,2024 Mar 27,Colussus 1B,Heinlein 18,First Far Side Lunar Landing (Uncrewed),,Success,"200x600 initial orbit, 0.04 inclination, 3100m/s tli, again not enough avionics so dumped tli fuel, 110 science until the sun set after around a day, the relays work!"
1966 Apr 1,2024 Mar 28,Colussus 2,Heinlein 19,Lunar Rover (Uncrewed),,Success,"Inefficient TLI due to high burn time, landed on literally 1m/s left at 1m/s, insufficient avionics on rover but I'm fine with that"
1966 May 10,2024 Apr 3,Goliath 3H,Ricochet 4E,Improved Earth Imaging Satellite + Rendezvous Target,,Success,"Taking too many screenshots? impossible, listening to Zubrin talks"
1966 Jun 28,2024 Apr 5,Goliath 4C,Selenium 3A,Geostationary Communications Network Launch 1,,Success,"Rollback to install the RL-10 oops, 5 tons too heavy on liftoff, 27.5t vs. 25t on second stage, 2nd stage pitched up and a little after full vertical it recovered control, made it to 230x660km, put into geo over the indian ocean after 6 hours, RL-10 performed perfectly, for the next customer satellites I'm putting comms on them nvm. Finally put in proper orbit on Mar 30 over Australia. Solar panels started failing in early 1968."
1966 Aug 21,2024 Apr 5,Goliath 3H,Ricochet 4F,Improved Earth Imaging Satellite + Rendezvous Target,,Success,"Still some time before contract runs out and had extra engineers during Colussus pad retrofit for crew, relayed between the target vehicle and Selenium 3A multiple times which was very cool!, didn't have electric charge on the return probe because it was left in the imager again but thats fair by me"
1966 Oct 16,2024 Apr 6,Goliath 4C,Selenium 3B,Geostationary Communications Network Launch 2,,Success,"Forgot about the second stage avionics issue, 222x349km parking orbit, above indian ocean. Drifted to Africa before correction to 23:56:04 orbital period. Solar panels began to fail in mid 1968"
1966 Dec 6,2024 Apr 6,Colussus 2 SRH-10,Amundsen 3,Mars Flyby & Orbiter,,Success,"Added tank on pad to hit minimum mass requirement, revert to try better trajectory for orbital insertion, perfect second stage, 1 engine out on third stage, performance loss (ISP) on TMI stage at 260s, ~700m/s trajectory correction to make up for performance loss. 292 days in, perfect Mars Orbit Insertion into an 86 degree orbit. 40% RCS prop remaining"
1967 Feb 22,2024 Aug 15,Colussus 2 BNH-15,Polaris 1,Crewed Lunar Flyby,Achim Hahn,Success,"First manned spaceflight in 973 days! First play in 131 days. One center non-gimbaling engine out at 55 seconds, max 12Gs on ascent. Opps did 2 RL-10 upper stage burns to get into orbit, didn't wait until burn t- = 0, 3500m/s remaining in LEO. 3120m/s TLI burn, extremely efficient, ~300km parking orbit. 2 days 18 hours close approach. 180m/s correction to adjust landing location and get into the atmosphere, could've been lower but landing location was moved from Indonesia to off the coast of north Peru. 14Gs peak reentry. Return Mar 1 6:43pm after 6 days 16 hours."
1967 May 13,2024 Aug 15,Goliath 4C,Selenium 3C & 3D,Geostationary Communications Network Launch 3,,Partial Success,"Error launching at 150t pad, would go back to menu, launched from 700t. Error with contract, so this is technically the geostationary test satellite contract. Spin at end of first stage booster burn because of 10x physics warp, corrected by LR-91 preburner exhaust gimbaling. Flourine 3rd stage got to 60x270 km orbit. The GEO insertion burn was delayed to get better positioning relative to 3A&3B sats, this evaporated too much hydrogen & lox to put both sats in GEO, one was abandoned in GTO. 4g GEO insertion burn. Selenium 3D at 2.4 degree inclination. Selenium 3D fully positioned over Texas in mid June."
1967 Jun 7,2024 Aug 17,Goliath 4D,Amundsen 4,Venus Orbital Science Probe,,Success,"Goliath OLC launch pad didn't have enough payloads for it, so this contact was undertaken. Construction of this vehicle prioritized over Selenium 3C/D to make the transfer window to Venus, rushed mission. Launched into clouds, beautiful. 213x2350 km parking orbit. Extra 600m/s on Venus transfer, 500m/s extra used for higher parking orbit, 100m/s net. Perfect transfer straight from Earth, no mid course correction required. Perfect 1000m/s insertion into 820 x 56361 km orbit"
1967 Jul 9,2024 Aug 17,Colussus 2 BRH-18,Polaris 2,First Crewed Lunar Orbit,Wladislaw Statnik,Partial Failure,"First window launched too early FUCK, reset for another launch in 2 weeks! Achim was still recovered from Polaris 1, so new Astronaut recruited. Single LR-91 engine out on second stage. Two RL-10s collided during staging of the third stage, then went into a spin, capsule & AJ10 service module separated and ignited the AJ10 engine to test, the RCS corrected the spin and got back on course. The service module had enough delta V to get into orbit, this was done to test the engine and gain data. Initial 205x212 parking orbit with 900m/s, then boosted to 206x3345km with 200m/s left. One extra orbit taken before return to test radiation around the Van Allen belts, 3% radiation exposure total. A little under 2 thirds RCS prop left, tons to spare, used 20 units of HTP. 45 km pe for entry, perfect return, Statnik came home safe far east of Hawaii. To correct the engine collision issue, staging must be delayed."
1967 Jul 21,2024 Aug 17,Goliath 4AH,Polaris Storage Test,Polaris Storage Test,,Great Success,"Testing Long-term Hydrolox storage in space and docking (with the Ricochet 4E target vehicle) for the human landing mission. After a perfect ascent, the probe was set to debris erroneously, corrected this within a minute. First 26 hours, lost 0.5%. 0.25kg/hr. Lesson 1: Maneuvering engines required for docking, maybe 100m/s worth. DOCKING SUCCESSFUL! A great technological milestone for the Polaris program. 3.23 LH2 on July 23 9 am. Lesson 2: Having mass in the way of the sun matters a lot, need shade! Aug 4, 3.14 LH2. -0.09/12/3.23 = 0.25% per day. Looks like you can 100% eliminate it if you get enough shade. Sep 30, 1.26 kL LH2, 1% per day."
1967 Oct 26,2024 Aug 18,Colussus 2 BRH-18,Polaris 3,First Crewed Lunar Orbit,Achim Hahn,Success,"Launch a few hours before sunrise, another LR-91 failure. 3120m/s in 302x174 km parking orbit. 66 Hours to Moon. ~1150m/s TEI burn. 20m/s left, super close, very uncomfortable. Night time reentry, 6 days 20 hours to get back. Peak 15g's, took a couple attempts to do reentry due to KSP crashes, ended up doing only from map view"
1968 Feb 24,2024 Aug 21,Goliath 4A,Heinlein 20,Lunar Relay Satellites,,Partial Success,"204x1995 parking orbit. Perfect launch window, try to be too early! dV somehow miscalculated on TLI stage (not caught in testing), have to use LV 3rd stage. Second Probe used as kick stage, extra 140m/s on top probe to finalize TLI burn. 2-ton payload capacity on the relays saved the mission. First relay left in 690x156,000 km Earth orbit, ~8 day orbital period. 60m/s left on lunar relay. Relay not put in frozen orbit, but at 25000x18000 km it won't be going anywhere."
